source_file,scenario_name,actual_log_file,avg_wait,max_wait,median_wait,groups_served,seat_util,true_seat_util,service_level_15,max_queue_length,avg_queue_length,fairness_gap,total_seats,end_time
seating_log_cafe_lunch_A.csv,cafe_lunch_A,seating_log_cafe_lunch_A.csv,18.24,99.0,0.0,21,41.54,34.22,71.43,4,1.61,55.67,16,238
seating_log_cafe_lunch_B.csv,cafe_lunch_B,seating_log_cafe_lunch_B.csv,1.14,9.0,0.0,21,71.13,58.59,100.0,2,0.17,4.0,16,139
seating_log_family_dinner_A.csv,family_dinner_A,seating_log_family_dinner_A.csv,9.5,56.0,0.0,18,57.71,53.54,72.22,3,0.8,30.5,28,213
seating_log_family_dinner_B.csv,family_dinner_B,seating_log_family_dinner_B.csv,10.94,50.0,6.5,18,65.63,55.09,72.22,4,0.95,27.25,28,207
seating_log_fastfood_rush_A.csv,fastfood_rush_A,seating_log_fastfood_rush_A.csv,6.88,19.0,6.0,24,81.52,67.54,91.67,5,1.74,7.0,18,95
seating_log_fastfood_rush_B.csv,fastfood_rush_B,seating_log_fastfood_rush_B.csv,0.92,10.0,0.0,24,76.1,63.32,100.0,2,0.29,4.5,24,76
seating_log_kbbq_hotpot_A.csv,kbbq_hotpot_A,seating_log_kbbq_hotpot_A.csv,19.83,90.0,0.0,12,55.52,51.2,66.67,3,0.87,44.67,28,273
seating_log_kbbq_hotpot_B.csv,kbbq_hotpot_B,seating_log_kbbq_hotpot_B.csv,16.17,52.0,9.0,12,71.29,64.06,58.33,3,0.83,22.5,26,235
seating_log_sushi_belt_A.csv,sushi_belt_A,seating_log_sushi_belt_A.csv,6.08,55.0,0.0,26,48.1,45.15,84.62,3,1.06,32.33,15,149
seating_log_sushi_belt_B.csv,sushi_belt_B,seating_log_sushi_belt_B.csv,1.96,6.0,1.5,26,80.57,59.95,100.0,2,0.52,3.13,17,99
