group_id,group_size,arrival_time,seating_time,wait_time,table_id,table_capacity,dining_duration,departure_time
1,1,3,3,0,1,2,21,24
2,2,5,5,0,2,2,21,26
3,2,10,10,0,3,2,19,29
4,1,18,18,0,4,2,13,31
5,2,19,19,0,5,4,19,38
6,2,24,24,0,1,2,30,54
7,2,29,29,0,2,2,23,52
8,3,31,31,0,6,4,17,48
9,1,36,36,0,3,2,23,59
10,3,40,40,0,5,4,30,70
11,1,48,48,0,4,2,24,72
12,5,58,58,0,7,6,36,94
13,2,64,64,0,1,2,23,87
14,3,65,65,0,6,4,35,100
15,1,66,66,0,2,2,17,83
16,2,69,69,0,3,2,18,87
17,1,71,71,0,5,4,22,93
18,2,72,72,0,4,2,27,99
19,2,75,83,8,2,2,29,112
20,1,80,87,7,1,2,19,106
21,1,84,87,3,3,2,12,99
22,2,93,93,0,5,4,21,114
23,1,96,96,0,7,6,21,117
24,1,103,103,0,3,2,22,125
25,1,107,107,0,1,2,31,138
26,1,118,118,0,2,2,21,139
27,1,120,120,0,4,2,26,146
28,2,121,121,0,5,4,28,149
29,3,122,122,0,6,4,19,141
30,3,124,124,0,7,6,31,155
31,2,130,130,0,3,2,18,148
32,2,134,138,4,1,2,23,161
33,2,136,139,3,2,2,26,165
36,3,141,141,0,6,4,38,179
34,1,138,146,8,4,2,24,170
35,1,140,148,8,3,2,23,171
37,2,149,149,0,5,4,26,175
38,2,153,155,2,7,6,24,179
39,2,156,161,5,1,2,15,176
40,2,161,165,4,2,2,30,195
41,1,165,170,5,4,2,14,184
42,2,173,173,0,3,2,24,197
43,1,175,175,0,5,4,28,203
44,1,178,178,0,1,2,21,199
45,2,179,179,0,6,4,23,202
